"state","year","cigsale","lnincome","beer","age15to24","retprice","UnitId"
"Alabama",1970,89.8,NA,NA,0.1788618,39.6,1
"Alabama",1971,95.4,NA,NA,0.1799278,42.7,1
"Alabama",1972,101.1,9.498476,NA,0.1809939,42.3,1
"Alabama",1973,102.9,9.550107,NA,0.1820599,42.1,1
"Alabama",1974,108.2,9.537163,NA,0.183126,43.1,1
"Alabama",1975,111.7,9.540031,NA,0.1841921,46.6,1
"Alabama",1976,116.2,9.591908,NA,0.1852581,50.4,1
"Alabama",1977,117.1,9.617496,NA,0.1863242,50.1,1
"Alabama",1978,123,9.654072,NA,0.1873902,55.1,1
"Alabama",1979,121.4,9.64918,NA,0.1884563,56.8,1
"Alabama",1980,123.2,9.612194,NA,0.1895223,60.6,1
"Alabama",1981,119.6,9.609594,NA,0.1858422,68.8,1
"Alabama",1982,119.1,9.59758,NA,0.1821621,73.1,1
"Alabama",1983,116.3,9.626769,NA,0.178482,84.4,1
"Alabama",1984,113,9.671621,18,0.1748019,90.8,1
"Alabama",1985,114.5,9.703193,18.7,0.1711218,99,1
"Alabama",1986,116.3,9.74595,19.3,0.1674417,103,1
"Alabama",1987,114,9.762092,19.4,0.1637616,110,1
"Alabama",1988,112.1,9.78177,19.4,0.1600815,114.4,1
"Alabama",1989,105.6,9.802527,19.4,0.1564014,122.3,1
"Alabama",1990,108.6,9.81429,20.1,0.1527212,139.1,1
"Alabama",1991,107.9,9.81926,20.1,NA,144.4,1
"Alabama",1992,109.1,9.845286,20.4,NA,172.2,1
"Alabama",1993,108.5,9.85216,20.3,NA,176.2,1
"Alabama",1994,107.1,9.879334,21,NA,154.6,1
"Alabama",1995,102.6,9.924404,20.6,NA,155.1,1
"Alabama",1996,101.4,9.940027,21,NA,158.3,1
"Alabama",1997,104.9,9.93727,20.8,NA,167.4,1
"Alabama",1998,106.2,NA,NA,NA,180.5,1
"Alabama",1999,100.7,NA,NA,NA,195.6,1
"Alabama",2000,96.2,NA,NA,NA,270.7,1
"Arkansas",1970,100.3,NA,NA,0.1690068,36.7,2
"Arkansas",1971,104.1,NA,NA,0.1699539,38.8,2
"Arkansas",1972,103.9,9.464514,NA,0.170901,44.1,2
"Arkansas",1973,108,9.55683,NA,0.171848,45.1,2
"Arkansas",1974,109.7,9.542286,NA,0.1727951,45.5,2
"Arkansas",1975,114.8,9.514094,NA,0.1737422,48.6,2
"Arkansas",1976,119.1,9.558153,NA,0.1746893,50.9,2
"Arkansas",1977,122.6,9.590923,NA,0.1756364,52.6,2
"Arkansas",1978,127.3,9.657238,NA,0.1765835,56.5,2
"Arkansas",1979,126.5,9.633533,NA,0.1775306,58.4,2
"Arkansas",1980,131.8,9.573803,NA,0.1784777,61.5,2
"Arkansas",1981,128.7,9.593041,NA,0.1750111,64.7,2
"Arkansas",1982,127.4,9.5737,NA,0.1715445,72.1,2
"Arkansas",1983,128,9.593053,NA,0.1680779,82,2
"Arkansas",1984,123.1,9.65044,17.9,0.1646114,93.6,2
"Arkansas",1985,125.8,9.675527,18.1,0.1611448,98.5,2
"Arkansas",1986,126,9.705939,18.7,0.1576782,103.6,2
"Arkansas",1987,122.3,9.705574,19,0.1542116,113,2
"Arkansas",1988,121.5,9.721532,18.9,0.150745,119.9,2
"Arkansas",1989,118.3,9.73737,19,0.1472785,127.7,2
"Arkansas",1990,113.1,9.736311,19.9,0.1438119,141.2,2
"Arkansas",1991,116.8,9.743068,19.9,NA,146.5,2
"Arkansas",1992,126,9.788629,20,NA,177.3,2
"Arkansas",1993,113.8,9.785142,19.7,NA,179.9,2
"Arkansas",1994,108.8,9.813631,19.7,NA,168.1,2
"Arkansas",1995,113,9.86446,19.5,NA,167.3,2
"Arkansas",1996,110.7,9.885234,20.1,NA,167.1,2
"Arkansas",1997,108.7,9.883107,19.8,NA,181.3,2
"Arkansas",1998,109.5,NA,NA,NA,187.3,2
"Arkansas",1999,104.8,NA,NA,NA,206.9,2
"Arkansas",2000,99.4,NA,NA,NA,279.3,2
"California",1970,123,NA,NA,0.1781583,38.8,3
"California",1971,121,NA,NA,0.1792964,39.7,3
"California",1972,123.5,9.930814,NA,0.1804344,39.9,3
"California",1973,124.4,9.955092,NA,0.1815724,39.9,3
"California",1974,126.7,9.947999,NA,0.1827104,41.9,3
"California",1975,127.1,9.937167,NA,0.1838485,45,3
"California",1976,128,9.976858,NA,0.1849865,48.3,3
"California",1977,126.4,10.0027,NA,0.1861245,49,3
"California",1978,126.1,10.04556,NA,0.1872625,58.7,3
"California",1979,121.9,10.05469,NA,0.1884006,60.1,3
"California",1980,120.2,10.03784,NA,0.1895386,62.1,3
"California",1981,118.6,10.02863,NA,0.1855371,66.4,3
"California",1982,115.4,10.01253,NA,0.1815355,72.8,3
"California",1983,110.8,10.03174,NA,0.1775339,84.9,3
"California",1984,104.8,10.07536,25,0.1735324,94.9,3
"California",1985,102.8,10.0997,24,0.1695308,98,3
"California",1986,99.7,10.12727,24.7,0.1655293,104.4,3
"California",1987,97.5,10.1343,24.1,0.1615277,103.9,3
"California",1988,90.1,10.14166,23.6,0.1575262,117.4,3
"California",1989,82.4,10.14231,23.7,0.1535246,126.4,3
"California",1990,77.8,10.14162,23.8,0.149523,163.8,3
"California",1991,68.7,10.11071,22.3,NA,186.8,3
"California",1992,67.5,10.11494,21.3,NA,201.9,3
"California",1993,63.4,10.0985,20.8,NA,205.1,3
"California",1994,58.6,10.09951,20.1,NA,190.3,3
"California",1995,56.4,10.15592,19.7,NA,195.1,3
"California",1996,54.5,10.17864,19.1,NA,197.9,3
"California",1997,53.8,10.17519,19.5,NA,200.3,3
"California",1998,52.3,NA,NA,NA,207.8,3
"California",1999,47.2,NA,NA,NA,224.9,3
"California",2000,41.6,NA,NA,NA,351.2,3
"Colorado",1970,124.8,NA,NA,0.1909502,29.4,4
"Colorado",1971,125.5,NA,NA,0.1916476,31.1,4
"Colorado",1972,134.3,9.805548,NA,0.192345,31.2,4
"Colorado",1973,137.9,9.848413,NA,0.1930423,32.7,4
"Colorado",1974,132.8,9.840451,NA,0.1937397,38.1,4
"Colorado",1975,131,9.828461,NA,0.1944371,41.7,4
"Colorado",1976,134.2,9.858913,NA,0.1951344,44.8,4
"Colorado",1977,132,9.888447,NA,0.1958318,44.7,4
"Colorado",1978,129.2,9.933751,NA,0.1965291,57.4,4
"Colorado",1979,131.5,9.94222,NA,0.1972265,52.8,4
"Colorado",1980,131,9.943612,NA,0.1979239,54.6,4
"Colorado",1981,133.8,9.957273,NA,0.1918687,58.1,4
"Colorado",1982,130.5,9.962617,NA,0.1858136,61.4,4
"Colorado",1983,125.3,9.978037,NA,0.1797584,73.3,4
"Colorado",1984,119.7,10.00205,25.7,0.1737033,83.4,4
"Colorado",1985,112.4,10.00078,25.2,0.1676481,93.1,4
"Colorado",1986,109.9,10.00159,25.5,0.1615929,95.1,4
"Colorado",1987,102.4,9.994427,24.8,0.1555378,108.6,4
"Colorado",1988,94.6,10.01883,24.2,0.1494826,116,4
"Colorado",1989,88.8,10.04306,23.9,0.1434275,130.8,4
"Colorado",1990,87.4,10.04625,24.2,0.1373723,149.3,4
"Colorado",1991,90.2,10.05476,23.5,NA,152.6,4
"Colorado",1992,88.3,10.06634,23.7,NA,157.5,4
"Colorado",1993,88.6,10.07967,23.5,NA,168.2,4
"Colorado",1994,89.1,10.09746,23.1,NA,153.2,4
"Colorado",1995,85.4,10.16635,24.4,NA,164.2,4
"Colorado",1996,83.1,10.19144,24.8,NA,169.6,4
"Colorado",1997,81.3,10.2039,24,NA,174.4,4
"Colorado",1998,81.2,NA,NA,NA,185.8,4
"Colorado",1999,79.6,NA,NA,NA,204.2,4
"Colorado",2000,73,NA,NA,NA,281.3,4
"Connecticut",1970,120,NA,NA,0.1629288,42.2,5
"Connecticut",1971,117.6,NA,NA,0.1646539,45.5,5
"Connecticut",1972,110.8,9.981137,NA,0.166379,51.3,5
"Connecticut",1973,109.3,10.01299,NA,0.1681042,50.6,5
"Connecticut",1974,112.4,9.988535,NA,0.1698293,52.5,5
"Connecticut",1975,110.2,9.960749,NA,0.1715545,54.5,5
"Connecticut",1976,113.4,9.993227,NA,0.1732796,57.6,5
"Connecticut",1977,117.3,10.02807,NA,0.1750048,58.4,5
"Connecticut",1978,117.5,10.0632,NA,0.1767299,61.7,5
"Connecticut",1979,117.4,10.07551,NA,0.178455,64.4,5
"Connecticut",1980,118,10.07476,NA,0.1801802,67,5
"Connecticut",1981,116.4,10.07957,NA,0.1760501,80.1,5
"Connecticut",1982,114.7,10.09016,NA,0.1719199,85.6,5
"Connecticut",1983,114.1,10.12007,NA,0.1677898,95.6,5
"Connecticut",1984,112.5,10.1816,20.3,0.1636597,113.5,5
"Connecticut",1985,111,10.21292,20.8,0.1595296,118.6,5
"Connecticut",1986,108.5,10.26861,20.6,0.1553994,118.5,5
"Connecticut",1987,109,10.30923,21.1,0.1512693,122.7,5
"Connecticut",1988,104.8,10.3554,20.7,0.1471392,129.7,5
"Connecticut",1989,100.6,10.36652,19.8,0.1430091,142,5
"Connecticut",1990,91.5,10.3493,19.8,0.138879,171.2,5
"Connecticut",1991,86.7,10.32414,18.7,NA,175.6,5
"Connecticut",1992,83.5,10.34384,18.3,NA,193.5,5
"Connecticut",1993,79.1,10.34354,17.9,NA,202.3,5
"Connecticut",1994,76.6,10.3613,17.9,NA,205.6,5
"Connecticut",1995,79.3,10.451,17.6,NA,205.4,5
"Connecticut",1996,76,10.47449,17.2,NA,206.3,5
"Connecticut",1997,75.9,10.48662,17.5,NA,208.5,5
"Connecticut",1998,75.5,NA,NA,NA,217.9,5
"Connecticut",1999,73.4,NA,NA,NA,236.5,5
"Connecticut",2000,71.4,NA,NA,NA,312.3,5
"Delaware",1970,155,NA,NA,0.1733577,39,6
